DOMAIN	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
A01A	22	24	23	23	23	24	23	17	26
S08A	17	18	22	22	22	19	17	20	25
C19	20	21	21	21	21	20	17	21	20
S33	15	16	16	15	17	17	14	18	19
S09X	14	13	14	15	16	13	12	14	11
T01A	13	13	13	13	13	13	13	13	13
S09C	13	14	12	11	12	13	13	11	15
C26	10	10	18	15	15	10	10	10	13
C44	12	11	15	12	15	12	10	10	11
M67A	8	7	6	7	7	7	7	7	7
S10	8	7	5	5	5	7	6	6	6
M24B	7	6	7	6	7	7	6	5	4
M16B	6	6	6	6	6	6	6	6	6
M38	5	5	7	5	8	6	5	6	6
S16	6	5	6	5	6	5	5	5	6
M01	4	5	7	6	7	4	4	5	6
S01C	5	5	5	3	6	5	5	4	4
M13	4	4	3	3	3	3	3	7	11
C12	5	5	5	5	5	4	5	3	3
S54	5	3	5	4	5	4	3	5	5
M41	4	4	5	4	5	4	4	3	4
M24A	5	4	4	4	5	4	3	4	4
S09B	4	4	4	4	4	4	4	2	5
M03A	3	3	4	3	4	3	3	3	3
M28X	3	4	3	3	3	3	3	3	3
C14B	3	3	3	3	3	3	3	3	3
C56	3	3	3	3	4	3	3	2	3
M16A	3	3	3	3	3	3	3	3	3
M24X	3	3	3	3	3	3	3	3	3
M17	2	2	2	2	3	4	2	2	2
C97	3	2	3	2	2	3	1	2	2
M20D	2	2	3	2	3	2	2	2	2
M48C	2	2	4	2	3	2	1	1	2
M28A	2	2	3	3	3	2	1	2	1
M28B	2	2	2	2	2	2	2	2	2
S08B	2	2	2	2	2	2	2	2	2
C83	2	2	2	2	2	2	2	2	2
M12B	2	2	3	2	2	3	0	2	2
M16C	2	2	2	2	2	2	2	2	2
M67X	2	2	2	2	2	2	2	2	2
S59	2	2	2	2	2	2	2	2	2
S28	2	2	2	2	2	2	2	2	2
M20F	2	2	2	2	2	2	2	2	2
T03	2	2	2	2	2	2	2	2	2
C48	3	2	2	2	2	2	1	1	2
S26A	2	1	3	2	2	2	1	1	2
M18	2	2	2	2	2	2	2	1	1
M80	1	2	2	2	2	2	2	2	1
M67C	3	2	1	1	1	2	1	2	2
C85A	1	2	2	2	2	2	1	1	1
C40	2	1	2	0	2	1	1	2	1
A22A	0	2	2	2	1	1	0	2	2
T05	1	1	2	1	2	1	1	1	1
I87	1	1	3	1	2	1	0	1	1
C02A	1	1	2	1	2	1	1	1	1
M48A	1	1	2	1	2	1	1	1	1
S14	1	1	1	1	2	1	1	1	1
T01X	1	1	1	1	1	1	1	1	1
M19	1	1	1	1	1	1	1	1	1
C54	1	1	1	1	1	1	1	1	1
C65	1	1	1	1	1	1	1	1	1
C01B	1	1	1	1	1	1	1	1	1
M50A	1	1	1	1	1	1	1	1	1
M36	1	1	1	1	1	1	1	1	1
A28	1	1	1	1	1	1	1	1	1
S12	1	1	1	1	1	1	1	1	1
S09A	1	1	1	1	1	1	1	1	1
A22B	1	1	1	1	1	1	1	1	1
M49	1	1	1	1	1	1	1	1	1
S26B	1	1	1	1	1	1	1	1	1
C13	1	1	1	1	1	1	1	1	1
M76	1	1	1	1	1	2	0	1	1
C50	1	1	1	1	1	1	0	1	1
T02	1	1	1	1	1	1	0	1	1
M23B	0	0	4	0	4	0	0	0	0
C86	1	1	0	1	1	0	0	1	1
I51	0	0	0	0	0	2	0	2	1
C85B	1	1	1	0	0	1	0	0	1
M79	1	0	1	1	1	0	0	0	1
U62	0	0	3	0	2	0	0	0	0
S11	0	0	2	0	2	0	0	0	0
S73	0	0	2	0	2	0	0	0	0
S24	0	0	1	0	2	0	0	0	0
M50B	0	0	1	0	2	0	0	0	0
A24A	0	0	1	0	1	0	0	0	0
S41A	0	0	1	0	1	0	0	0	0
T01B	0	0	1	0	1	0	0	0	0
S66	0	0	1	0	1	0	0	0	0
N06	0	0	1	0	1	0	0	0	0
S49C	0	0	1	0	1	0	0	0	0
M61	0	0	1	0	1	0	0	0	0
S53	0	0	1	0	1	0	0	0	0
M48B	0	0	1	0	1	0	0	0	0
S13	0	0	1	0	1	0	0	0	0
M20X	0	0	0	0	1	0	0	0	0
M20A	0	0	1	0	0	0	0	0	0
S49B	0	0	0	0	1	0	0	0	0
